Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
2,10:00 PM,30.2,74.22,23,30.25,-
3,10:00 PM,30.02,65.67,19.94,30.28,4
4,10:00 PM,39.92,59.47,26.96,29.98,7
5,10:00 PM,44.06,95.95,42.98,29.64,6
6,10:00 PM,42.8,75.5,35.6,29.73,3
7,10:00 PM,48.02,60.61,35.06,29.76,9
8,10:00 PM,39.92,79.11,33.98,29.95,17
9,10:00 PM,42.08,44.3,21.92,30.08,16
10,10:00 PM,33.98,72.42,26.06,30.11,9
11,10:00 PM,35.06,88.46,32,29.96,3
12,10:00 PM,60.98,23.07,23,29.67,15
13,10:00 PM,48.92,49.63,30.92,29.96,6
14,10:00 PM,44.06,57.48,30.02,30.18,6
15,10:00 PM,44.06,67.44,33.98,30.27,3
16,10:00 PM,41,67.07,30.92,30.31,-
17,10:00 PM,37.04,72.22,28.94,30.35,5
18,10:00 PM,37.94,82.45,33.08,30.05,-
19,10:00 PM,44.06,62.29,32,30.06,6
20,10:00 PM,46.04,45.3,26.06,30.17,15
21,10:00 PM,37.4,74.96,30.2,30.06,4
22,10:00 PM,42.08,85.13,37.94,29.61,6
23,10:00 PM,60.98,23.07,23,29.68,9
24,10:00 PM,57.02,32.78,28.04,30,9
25,10:00 PM,57.02,47.09,37.04,30.26,4
26,10:00 PM,57.02,45.13,35.96,30.31,4
2,8:00 PM,32,69,23,30.26,3
3,8:00 PM,33.08,55.83,19.04,30.26,4
4,8:00 PM,39.92,57.29,26.06,29.95,9
5,8:00 PM,42.08,91.98,39.92,29.67,6
6,8:00 PM,42.98,76.05,35.96,29.75,7
7,8:00 PM,48.02,58.06,33.98,29.78,7
8,8:00 PM,41,85.67,37.04,29.92,7
9,8:00 PM,42.08,44.3,21.92,30.12,12
10,8:00 PM,35.6,69.43,26.6,30.08,11
11,8:00 PM,35.96,81.7,30.92,29.97,-
12,8:00 PM,62.06,23.24,24.08,29.67,20
13,8:00 PM,51.08,49.97,33.08,29.97,6
14,8:00 PM,46.04,57.77,32,30.18,6
15,8:00 PM,46.94,60.46,33.98,30.27,4
16,8:00 PM,44.06,59.62,30.92,30.28,3
17,8:00 PM,39.92,69.94,30.92,30.34,-
18,8:00 PM,39.02,81.94,33.98,30.02,3
19,8:00 PM,46.04,65.31,35.06,30.1,8
20,8:00 PM,46.04,49.16,28.04,30.18,15
21,8:00 PM,37.4,80.63,32,30.01,6
22,8:00 PM,41,85.67,37.04,29.63,9
23,8:00 PM,64.4,17.56,19.4,29.71,9
24,8:00 PM,60.08,33.05,30.92,30,8
25,8:00 PM,60.08,55.42,44.06,30.26,-
26,8:00 PM,62.96,38.13,37.04,30.28,-
2,6:00 PM,33.08,66.06,23,30.25,6
3,6:00 PM,33.08,58.02,19.94,30.24,3
4,6:00 PM,41,57.03,26.96,29.9,8
5,6:00 PM,41,92.59,39.02,29.73,5
6,6:00 PM,51.8,57.78,37.4,29.73,9
6,6:00 PM,51.98,56.59,37.04,29.73,9
7,6:00 PM,48.02,53.62,32,29.81,7
7,6:00 PM,48.2,53.26,32,29.81,7
8,6:00 PM,48.2,70.88,39.2,29.83,20
8,6:00 PM,48.02,70.86,39.02,29.83,20
9,6:00 PM,41,44.8,21.2,30.14,11
9,6:00 PM,41,44.46,21.02,30.14,11
10,6:00 PM,39.2,60.26,26.6,30.04,8
10,6:00 PM,39.92,59.47,26.96,30.04,8
11,6:00 PM,37.4,74.96,30.2,29.96,4
11,6:00 PM,37.04,78.29,30.92,29.96,4
12,6:00 PM,62.96,21.52,23,29.68,12
12,6:00 PM,62.6,21.79,23,29.68,12
13,6:00 PM,53.6,43.61,32,30,5
13,6:00 PM,53.06,44.48,32,30,5
14,6:00 PM,51.98,46.28,32,30.18,5
15,6:00 PM,50,52.01,33.08,30.26,5
16,6:00 PM,48.2,46,28.4,30.29,5
16,6:00 PM,48.92,45.78,28.94,30.29,5
17,6:00 PM,42.8,56.46,28.4,30.31,4
18,6:00 PM,39.2,80.78,33.8,30,5
18,6:00 PM,39.02,81.94,33.98,30,6
19,6:00 PM,50,42.38,28.04,30.11,-
20,6:00 PM,46.4,42.41,24.8,30.19,6
21,6:00 PM,41,60.51,28.4,29.95,4
22,6:00 PM,39.92,89.33,37.04,29.64,6
22,6:00 PM,39.2,93.19,37.4,29.64,6
23,6:00 PM,69.8,14.58,19.41,29.75,6
23,6:00 PM,69.08,14.71,19.04,29.75,6
24,6:00 PM,68,28.14,33.8,30.02,4
25,6:00 PM,66.2,34.54,37.4,30.26,3
25,6:00 PM,66.02,35.5,37.94,30.26,3
26,6:00 PM,66.02,32.84,35.96,30.27,-
2,4:00 PM,39.02,48.02,21.02,30.26,6
3,4:00 PM,37.04,47.69,19.04,30.23,6
4,4:00 PM,44.06,44.97,24.08,29.85,7
5,4:00 PM,42.08,85.13,37.94,29.77,4
6,4:00 PM,60.08,39.03,35.06,29.72,8
7,4:00 PM,48.02,53.62,32,29.85,5
8,4:00 PM,48.92,63.39,37.04,29.79,7
9,4:00 PM,42.08,40.72,19.94,30.15,11
10,4:00 PM,44.06,44.97,24.08,29.99,14
11,4:00 PM,37.04,85.42,33.08,29.95,3
12,4:00 PM,66.02,18.48,21.92,29.71,22
13,4:00 PM,62.6,27.28,28.4,30.02,4
14,4:00 PM,57.92,35.7,30.92,30.19,7
15,4:00 PM,53.96,41.2,30.92,30.26,8
16,4:00 PM,53.06,42.58,30.92,30.3,11
17,4:00 PM,46.04,45.3,26.06,30.29,4
18,4:00 PM,44.06,57.48,30.02,29.97,9
19,4:00 PM,51.98,36.29,26.06,30.14,6
20,4:00 PM,46.94,36.81,21.92,30.21,-
21,4:00 PM,44.6,48.93,26.6,29.89,14
22,4:00 PM,41,88.75,37.94,29.63,14
23,4:00 PM,77,12.27,21.03,29.78,11
24,4:00 PM,75.02,19.05,30.02,30.05,5
25,4:00 PM,73.04,26.97,37.04,30.27,6
2,2:00 PM,39.02,48.02,21.02,30.27,8
3,2:00 PM,37.04,45.52,17.96,30.23,8
4,2:00 PM,44.96,45.12,24.98,29.8,18
5,2:00 PM,42.98,76.05,35.96,29.8,9
