Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
2,10:00 PM,59,47.41,39.02,30.15,4
3,10:00 PM,60.08,43.73,37.94,30.27,-
4,10:00 PM,60.8,36.18,33.8,30.11,4
5,10:00 PM,64.4,27.56,30.2,29.99,8
6,10:00 PM,64.4,27.56,30.2,30.15,5
7,10:00 PM,64.4,34.25,35.6,30.19,5
8,10:00 PM,64.4,39.46,39.2,30.24,5
9,10:00 PM,64.4,34.25,35.6,30.24,3
10,10:00 PM,64.4,52.03,46.4,30.22,-
11,10:00 PM,62.6,48.31,42.8,30.17,-
12,10:00 PM,62.6,42.03,39.2,30.17,4
13,10:00 PM,60.08,51.37,42.08,30.11,5
14,10:00 PM,60.98,47.72,41,30.04,3
15,10:00 PM,60.08,49.27,41,30.03,3
16,10:00 PM,66.02,69.98,55.94,29.96,7
17,10:00 PM,64.94,72.66,55.94,30.28,8
18,10:00 PM,71.06,21.76,30.02,30.13,7
19,10:00 PM,69.98,34.92,41,30.18,5
20,10:00 PM,66.92,38.78,41,30.23,5
21,10:00 PM,66.02,30.35,33.98,30.28,4
22,10:00 PM,62.06,39.35,37.04,30.21,5
23,10:00 PM,62.96,44.51,41,30.11,5
24,10:00 PM,69.08,58.61,53.96,29.91,10
25,10:00 PM,75.02,44.61,51.98,29.97,9
26,10:00 PM,75.2,22.06,33.8,29.96,6
2,8:00 PM,66.2,32.17,35.6,30.16,-
3,8:00 PM,64.04,41.1,39.92,30.26,3
4,8:00 PM,64.4,27.56,30.2,30.08,4
5,8:00 PM,68,24.34,30.2,29.99,6
6,8:00 PM,69.8,30.53,37.4,30.15,6
7,8:00 PM,71.6,30.82,39.2,30.18,5
8,8:00 PM,68,40.05,42.8,30.23,4
9,8:00 PM,68,40.05,42.8,30.22,4
10,8:00 PM,66.2,45.65,44.6,30.2,5
11,8:00 PM,66.2,39.75,41,30.15,6
12,8:00 PM,68,34.84,39.2,30.15,5
13,8:00 PM,64.04,42.86,41,30.08,4
14,8:00 PM,64.94,39.83,39.92,30.03,6
15,8:00 PM,60.98,49.76,42.08,30.02,7
16,8:00 PM,73.94,44.73,51.08,29.95,13
17,8:00 PM,78.8,31.97,46.4,30.14,15
18,8:00 PM,78.08,16.47,28.94,30.11,-
19,8:00 PM,73.94,31.85,42.08,30.16,4
20,8:00 PM,69.8,43.19,46.4,30.22,6
21,8:00 PM,71.96,31.31,39.92,30.26,4
22,8:00 PM,69.98,30.99,37.94,30.19,4
23,8:00 PM,64.04,41.1,39.92,30.08,7
24,8:00 PM,71.96,53.15,53.96,29.91,9
25,8:00 PM,80.96,32.75,48.92,29.93,9
26,8:00 PM,80.96,13.82,26.96,29.92,6
2,6:00 PM,71.6,28.72,37.4,30.16,8
3,6:00 PM,73.4,25.17,35.6,30.24,7
4,6:00 PM,73.4,20.26,30.2,30.05,8
5,6:00 PM,77,16.7,28.41,30,6
6,6:00 PM,75.2,23.7,35.6,30.14,8
7,6:00 PM,77,20.78,33.8,30.17,6
8,6:00 PM,77,23.97,37.4,30.21,7
9,6:00 PM,77,23.97,37.4,30.21,8
10,6:00 PM,77,25.73,39.2,30.19,7
11,6:00 PM,75.2,25.45,37.4,30.13,7
12,6:00 PM,75.2,23.7,35.6,30.13,11
13,6:00 PM,71.96,31.31,39.92,30.07,9
14,6:00 PM,69.8,32.76,39.2,30.01,8
15,6:00 PM,68,28.34,33.98,30.01,7
16,6:00 PM,73.4,46.78,51.8,29.95,4
17,6:00 PM,84.02,25.56,44.96,30.12,8
17,6:00 PM,84.2,25.06,44.6,30.12,8
18,6:00 PM,87.8,10.94,26.61,30.11,9
19,6:00 PM,84.02,15.38,32,30.17,9
20,6:00 PM,78.98,24.79,39.92,30.23,6
21,6:00 PM,78.98,18.11,32,30.25,8
22,6:00 PM,73.4,25.17,35.6,30.18,8
23,6:00 PM,71.96,30.23,39.02,30.07,12
24,6:00 PM,77,44.33,53.6,29.9,10
25,6:00 PM,89.06,14.19,33.98,29.9,12
2,4:00 PM,73.94,25.07,35.96,30.2,8
3,4:00 PM,75.2,25.45,37.4,30.24,7
4,4:00 PM,75.2,17.72,28.4,30.05,13
5,4:00 PM,78.8,15.74,28.41,30.03,-
6,4:00 PM,80.6,18.47,33.8,30.16,9
7,4:00 PM,78.8,21.04,35.6,30.19,5
8,4:00 PM,78.8,19.59,33.81,30.23,7
9,4:00 PM,80.6,19.84,35.6,30.23,4
10,4:00 PM,78.8,26,41,30.19,7
11,4:00 PM,75.2,23.7,35.6,30.14,9
12,4:00 PM,77,25.73,39.2,30.13,11
