,Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
223,2,10:00 PM,59,47.41,39.02,30.15,4
522,3,10:00 PM,60.08,43.73,37.94,30.27,-
809,4,10:00 PM,60.8,36.18,33.8,30.11,4
1072,5,10:00 PM,64.4,27.56,30.2,29.99,8
1336,6,10:00 PM,64.4,27.56,30.2,30.15,5
1600,7,10:00 PM,64.4,34.25,35.6,30.19,5
1863,8,10:00 PM,64.4,39.46,39.2,30.24,5
2127,9,10:00 PM,64.4,34.25,35.6,30.24,3
2392,10,10:00 PM,64.4,52.03,46.4,30.22,-
2656,11,10:00 PM,62.6,48.31,42.8,30.17,-
2917,12,10:00 PM,62.6,42.03,39.2,30.17,4
3205,13,10:00 PM,60.08,51.37,42.08,30.11,5
3513,14,10:00 PM,60.98,47.72,41,30.04,3
3822,15,10:00 PM,60.08,49.27,41,30.03,3
4137,16,10:00 PM,66.02,69.98,55.94,29.96,7
4452,17,10:00 PM,64.94,72.66,55.94,30.28,8
4767,18,10:00 PM,71.06,21.76,30.02,30.13,7
5076,19,10:00 PM,69.98,34.92,41,30.18,5
5382,20,10:00 PM,66.92,38.78,41,30.23,5
5694,21,10:00 PM,66.02,30.35,33.98,30.28,4
6006,22,10:00 PM,62.06,39.35,37.04,30.21,5
6318,23,10:00 PM,62.96,44.51,41,30.11,5
6641,24,10:00 PM,69.08,58.61,53.96,29.91,10
6948,25,10:00 PM,75.02,44.61,51.98,29.97,9
7255,26,10:00 PM,75.2,22.06,33.8,29.96,6
248,2,8:00 PM,66.2,32.17,35.6,30.16,-
548,3,8:00 PM,64.04,41.1,39.92,30.26,3
830,4,8:00 PM,64.4,27.56,30.2,30.08,4
1094,5,8:00 PM,68,24.34,30.2,29.99,6
1358,6,8:00 PM,69.8,30.53,37.4,30.15,6
1622,7,8:00 PM,71.6,30.82,39.2,30.18,5
1885,8,8:00 PM,68,40.05,42.8,30.23,4
2149,9,8:00 PM,68,40.05,42.8,30.22,4
2414,10,8:00 PM,66.2,45.65,44.6,30.2,5
2678,11,8:00 PM,66.2,39.75,41,30.15,6
2939,12,8:00 PM,68,34.84,39.2,30.15,5
3231,13,8:00 PM,64.04,42.86,41,30.08,4
3539,14,8:00 PM,64.94,39.83,39.92,30.03,6
3848,15,8:00 PM,60.98,49.76,42.08,30.02,7
4164,16,8:00 PM,73.94,44.73,51.08,29.95,13
4479,17,8:00 PM,78.8,31.97,46.4,30.14,15
4793,18,8:00 PM,78.08,16.47,28.94,30.11,-
5101,19,8:00 PM,73.94,31.85,42.08,30.16,4
5408,20,8:00 PM,69.8,43.19,46.4,30.22,6
5720,21,8:00 PM,71.96,31.31,39.92,30.26,4
